price,time
49500元/㎡,2019年03
49550元/㎡,2019年02
49264元/㎡,2019年01
49446元/㎡,2018年12
50189元/㎡,2018年11
50439元/㎡,2018年10
50512元/㎡,2018年09
50667元/㎡,2018年08
50697元/㎡,2018年07
50801元/㎡,2018年06
50365元/㎡,2018年05
50461元/㎡,2018年04
51935元/㎡,2018年03
51873元/㎡,2018年02
50619元/㎡,2018年01
50017元/㎡,2017年12
49998元/㎡,2017年11
50760元/㎡,2017年10
50922元/㎡,2017年09
50674元/㎡,2017年08
52805元/㎡,2017年07
53343元/㎡,2017年06
53919元/㎡,2017年05
51791元/㎡,2017年04
52146元/㎡,2017年03
53228元/㎡,2017年02
52640元/㎡,2017年01
52142元/㎡,2016年12
51292元/㎡,2016年11
49765元/㎡,2016年10
48009元/㎡,2016年09
46271元/㎡,2016年08
45338元/㎡,2016年07
45411元/㎡,2016年06
45484元/㎡,2016年05
45397元/㎡,2016年04
43840元/㎡,2016年03
37795元/㎡,2016年02
36665元/㎡,2016年01
35237元/㎡,2015年12
34167元/㎡,2015年11
33470元/㎡,2015年10
33073元/㎡,2015年09
32713元/㎡,2015年08
32592元/㎡,2015年07
32030元/㎡,2015年06
31607元/㎡,2015年05
31136元/㎡,2015年04
31198元/㎡,2015年03
31198元/㎡,2015年02
30826元/㎡,2015年01
30522元/㎡,2014年12
30491元/㎡,2014年11
30435元/㎡,2014年10
30576元/㎡,2014年09
30532元/㎡,2014年08
30573元/㎡,2014年07
30642元/㎡,2014年06
30987元/㎡,2014年05
30813元/㎡,2014年04
30547元/㎡,2014年03
30331元/㎡,2014年02
30096元/㎡,2014年01
29978元/㎡,2013年12
29593元/㎡,2013年11
28751元/㎡,2013年10
28048元/㎡,2013年09
27510元/㎡,2013年08
27169元/㎡,2013年07
26923元/㎡,2013年06
26759元/㎡,2013年05
26493元/㎡,2013年04
25690元/㎡,2013年03
24514元/㎡,2013年02
23920元/㎡,2013年01
23428元/㎡,2012年12
23105元/㎡,2012年11
22929元/㎡,2012年10
22833元/㎡,2012年09
22663元/㎡,2012年08
22516元/㎡,2012年07
22348元/㎡,2012年06
22198元/㎡,2012年05
22160元/㎡,2012年04
22063元/㎡,2012年03
21804元/㎡,2012年02
22082元/㎡,2012年01
22665元/㎡,2011年12
23288元/㎡,2011年11
23720元/㎡,2011年10
23883元/㎡,2011年09
23950元/㎡,2011年08
23940元/㎡,2011年07
23849元/㎡,2011年06
23679元/㎡,2011年05
23570元/㎡,2011年04
23548元/㎡,2011年03
23421元/㎡,2011年02
23058元/㎡,2011年01
22491元/㎡,2010年12
22119元/㎡,2010年11
22069元/㎡,2010年10
21785元/㎡,2010年09
21545元/㎡,2010年08
21664元/㎡,2010年07
21840元/㎡,2010年06
22047元/㎡,2010年05
21810元/㎡,2010年04
21006元/㎡,2010年03
20782元/㎡,2010年02
20435元/㎡,2010年01
